Period,Minutes,Seconds,playerId,playerName,typeId,outcome,x,y,xGOT,xG,Game,Date,Team,Type,Opposition,Season,Competition,Player
First Half,6,3,77zsmhko9njb4omwzn29sg6qc,P. Tjiueza,15,1,88.9,69.5,0.0,0.0194350089877843,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Cape Town City FC,Saved,Royal AM,2024/25,Premier Soccer League,Prins Tjiueza
First Half,6,26,4swmcfn5c81m1a5flpdxhz3d,H. Domingo,15,1,90.3,50.9,0.2447521239519119,0.4454299211502075,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Cape Town City FC,Saved,Royal AM,2024/25,Premier Soccer League,Haashim Domingo
First Half,7,14,77zsmhko9njb4omwzn29sg6qc,P. Tjiueza,16,1,88.1,40.9,0.7248644232749939,0.1542512476444244,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Cape Town City FC,Goal,Royal AM,2024/25,Premier Soccer League,Prins Tjiueza
First Half,14,6,6v4kv2oo6v45qa7nhi5dfh90,K. Shezi,15,1,85.5,45.6,0.0,0.0467977374792099,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Royal AM,Saved,Cape Town City FC,2024/25,Premier Soccer League,Khulekani Shezi
First Half,15,5,e1avnpu8xuxlo0ys7fbmv6ju1,Darwin González,13,1,87.8,68.1,0.0,0.0408781208097934,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Cape Town City FC,Miss,Royal AM,2024/25,Premier Soccer League,Darwin González
First Half,16,4,7661mdds8e10hcctvujz4e978,S. Sithole,15,1,91.8,65.2,0.0,0.0544582530856132,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Royal AM,Saved,Cape Town City FC,2024/25,Premier Soccer League,Sabelo Sithole
First Half,16,12,59bwh9di31npfk3hhalnnm51w,A. Maxwele,15,1,84.0,56.4,0.0,0.0487873516976833,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Royal AM,Saved,Cape Town City FC,2024/25,Premier Soccer League,Ayabulela Maxwele
First Half,24,20,4av68w3ljl5c3yxexh91p51xw,J. Rhodes,15,1,79.2,47.1,0.0,0.1350888162851333,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Cape Town City FC,Saved,Royal AM,2024/25,Premier Soccer League,Jaedin Rhodes
First Half,30,17,7661mdds8e10hcctvujz4e978,S. Sithole,13,1,87.2,59.3,0.0,0.0453368946909904,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Royal AM,Miss,Cape Town City FC,2024/25,Premier Soccer League,Sabelo Sithole
First Half,37,6,7661mdds8e10hcctvujz4e978,S. Sithole,15,1,90.2,69.7,0.0493566170334816,0.020887117832899,Royal AM vs Cape Town City FC - 1:1,2024-09-14,Royal AM,Saved,Cape Town City FC,2024/25,Premier Soccer League,Sabelo Sithole
